shooting_hour,location_desc,boro,sex
3,PUBLIC HOUSE,BRONX,Female
11,JEWELRY STORE,BROOKLYN,Female
2,BAR/NIGHT CLUB,BROOKLYN,Male
14,APT BUILD,BROOKLYN,Male
0,PUBLIC HOUSE,BROOKLYN,Male
3,BAR/NIGHT CLUB,BROOKLYN,Female
2,BAR/NIGHT CLUB,BROOKLYN,Female
2,PUBLIC HOUSE,BROOKLYN,Male
21,PVT HOUSE,BROOKLYN,Female
11,PVT HOUSE,BROOKLYN,Male
1,BAR/NIGHT CLUB,BROOKLYN,Female
11,APT BUILD,BROOKLYN,Male
8,GROCERY/BODEGA,BROOKLYN,Female
0,PVT HOUSE,BROOKLYN,Female
18,APT BUILD,BROOKLYN,Male
22,BAR/NIGHT CLUB,BROOKLYN,Male
21,PVT HOUSE,BROOKLYN,Male
2,GROCERY/BODEGA,BROOKLYN,Male
11,JEWELRY STORE,BROOKLYN,Male
18,PUBLIC HOUSE,BROOKLYN,Male
11,PUBLIC HOUSE,BROOKLYN,Female
3,APT BUILD,BROOKLYN,Male
15,BAR/NIGHT CLUB,BROOKLYN,Female
15,PUBLIC HOUSE,BROOKLYN,Female
19,PVT HOUSE,BROOKLYN,Male
21,APT BUILD,BROOKLYN,Female
3,PUBLIC HOUSE,BROOKLYN,Female
15,APT BUILD,BROOKLYN,Female
6,APT BUILD,BROOKLYN,Male
23,PUBLIC HOUSE,BROOKLYN,Male
10,PUBLIC HOUSE,BROOKLYN,Male
17,APT BUILD,BROOKLYN,Female
8,APT BUILD,BROOKLYN,Male
0,COMMERCIAL BLDG,BROOKLYN,Female
1,PUBLIC HOUSE,BROOKLYN,Male
15,GROCERY/BODEGA,BROOKLYN,Female
12,PUBLIC HOUSE,BROOKLYN,Male
6,APT BUILD,BROOKLYN,Female
14,APT BUILD,BROOKLYN,Female
18,APT BUILD,BROOKLYN,Female
0,APT BUILD,BROOKLYN,Male
12,APT BUILD,BROOKLYN,Female
11,PUBLIC HOUSE,BROOKLYN,Male
19,PUBLIC HOUSE,BROOKLYN,Female
2,APT BUILD,BROOKLYN,Male
19,COMMERCIAL BLDG,BROOKLYN,Male
1,APT BUILD,BROOKLYN,Female
19,PVT HOUSE,BROOKLYN,Female
21,GROCERY/BODEGA,BROOKLYN,Female
18,GROCERY/BODEGA,BROOKLYN,Male
3,GROCERY/BODEGA,BROOKLYN,Female
0,GROCERY/BODEGA,BROOKLYN,Female
17,PUBLIC HOUSE,BROOKLYN,Female
11,PVT HOUSE,BROOKLYN,Female
16,PUBLIC HOUSE,BROOKLYN,Female
6,PUBLIC HOUSE,BROOKLYN,Female
8,GROCERY/BODEGA,BROOKLYN,Male
1,APT BUILD,BROOKLYN,Male
22,APT BUILD,BROOKLYN,Female
7,GROCERY/BODEGA,BROOKLYN,Male
0,GROCERY/BODEGA,BROOKLYN,Male
0,COMMERCIAL BLDG,BROOKLYN,Male
22,APT BUILD,BROOKLYN,Male
20,PUBLIC HOUSE,BROOKLYN,Male
2,PVT HOUSE,BROOKLYN,Female
6,PUBLIC HOUSE,BROOKLYN,Male
22,PVT HOUSE,BROOKLYN,Male
22,PVT HOUSE,BROOKLYN,Female
10,PUBLIC HOUSE,BROOKLYN,Female
1,BAR/NIGHT CLUB,BROOKLYN,Male
1,PUBLIC HOUSE,BROOKLYN,Female
19,PUBLIC HOUSE,BROOKLYN,Male
9,PUBLIC HOUSE,BROOKLYN,Female
18,GROCERY/BODEGA,BROOKLYN,Female
9,PUBLIC HOUSE,BROOKLYN,Male
20,BAR/NIGHT CLUB,BROOKLYN,Female
17,PUBLIC HOUSE,BROOKLYN,Male
21,PUBLIC HOUSE,BROOKLYN,Female
20,APT BUILD,BROOKLYN,Female
20,BAR/NIGHT CLUB,BROOKLYN,Male
16,APT BUILD,BROOKLYN,Female
2,GROCERY/BODEGA,BROOKLYN,Female
11,APT BUILD,BROOKLYN,Female
17,APT BUILD,BROOKLYN,Male
22,BAR/NIGHT CLUB,BROOKLYN,Female
19,COMMERCIAL BLDG,BROOKLYN,Female
20,APT BUILD,BROOKLYN,Male
8,APT BUILD,BROOKLYN,Female
21,PUBLIC HOUSE,BROOKLYN,Male
4,PUBLIC HOUSE,BROOKLYN,Male
12,BEAUTY/NAIL SALON,BROOKLYN,Female
0,PUBLIC HOUSE,BROOKLYN,Female
6,BAR/NIGHT CLUB,BROOKLYN,Female
11,CLOTHING BOUTIQUE,BROOKLYN,Male
15,PUBLIC HOUSE,BROOKLYN,Male
14,PVT HOUSE,BROOKLYN,Female
14,STORE UNCLASSIFIED,BROOKLYN,Male
11,CLOTHING BOUTIQUE,BROOKLYN,Female
16,APT BUILD,BROOKLYN,Male
2,PUBLIC HOUSE,BROOKLYN,Female
15,APT BUILD,BROOKLYN,Male
22,PUBLIC HOUSE,BROOKLYN,Male
22,PUBLIC HOUSE,BROOKLYN,Female
16,PUBLIC HOUSE,BROOKLYN,Male
21,APT BUILD,BROOKLYN,Male
2,PVT HOUSE,BROOKLYN,Male
14,STORE UNCLASSIFIED,BROOKLYN,Female
1,PVT HOUSE,BROOKLYN,Male
20,PUBLIC HOUSE,BROOKLYN,Female
7,PUBLIC HOUSE,BROOKLYN,Male
5,PUBLIC HOUSE,BROOKLYN,Male
3,PUBLIC HOUSE,BROOKLYN,Male
14,PVT HOUSE,BROOKLYN,Male
12,BEAUTY/NAIL SALON,BROOKLYN,Male
7,PUBLIC HOUSE,BROOKLYN,Female
0,PVT HOUSE,BROOKLYN,Male
15,GROCERY/BODEGA,BROOKLYN,Male
5,PUBLIC HOUSE,BROOKLYN,Female
23,APT BUILD,BROOKLYN,Male
12,PUBLIC HOUSE,BROOKLYN,Female
6,BAR/NIGHT CLUB,BROOKLYN,Male
23,PUBLIC HOUSE,BROOKLYN,Female
23,APT BUILD,BROOKLYN,Female
21,GROCERY/BODEGA,BROOKLYN,Male
4,PUBLIC HOUSE,BROOKLYN,Female
2,APT BUILD,BROOKLYN,Female
0,APT BUILD,BROOKLYN,Female
7,GROCERY/BODEGA,BROOKLYN,Female
12,APT BUILD,BROOKLYN,Male
1,PVT HOUSE,BROOKLYN,Female
15,BAR/NIGHT CLUB,BROOKLYN,Male
3,APT BUILD,BROOKLYN,Female
3,BAR/NIGHT CLUB,BROOKLYN,Male
18,PUBLIC HOUSE,BROOKLYN,Female
3,GROCERY/BODEGA,BROOKLYN,Male
0,PUBLIC HOUSE,QUEENS,Female
0,APT BUILD,QUEENS,Female
17,PUBLIC HOUSE,QUEENS,Male
3,STORE UNCLASSIFIED,QUEENS,Female
4,GROCERY/BODEGA,QUEENS,Male
4,APT BUILD,QUEENS,Female
23,PUBLIC HOUSE,QUEENS,Female
15,BAR/NIGHT CLUB,QUEENS,Male
23,PUBLIC HOUSE,QUEENS,Male
21,APT BUILD,QUEENS,Male
2,APT BUILD,QUEENS,Male
15,PUBLIC HOUSE,QUEENS,Male
5,PUBLIC HOUSE,QUEENS,Female
3,STORE UNCLASSIFIED,QUEENS,Male
2,BAR/NIGHT CLUB,QUEENS,Female
3,PUBLIC HOUSE,QUEENS,Female
21,PUBLIC HOUSE,QUEENS,Female
16,APT BUILD,QUEENS,Female
18,PUBLIC HOUSE,QUEENS,Female
1,APT BUILD,QUEENS,Female
19,PUBLIC HOUSE,QUEENS,Male
2,PUBLIC HOUSE,QUEENS,Male
19,PUBLIC HOUSE,QUEENS,Female
16,APT BUILD,QUEENS,Male
15,PUBLIC HOUSE,QUEENS,Female
14,APT BUILD,QUEENS,Female
0,APT BUILD,QUEENS,Male
11,PUBLIC HOUSE,QUEENS,Female
5,PUBLIC HOUSE,QUEENS,Male
22,PUBLIC HOUSE,QUEENS,Male
4,APT BUILD,QUEENS,Male
2,APT BUILD,QUEENS,Female
21,PUBLIC HOUSE,QUEENS,Male
22,PVT HOUSE,QUEENS,Male
14,APT BUILD,QUEENS,Male
20,PUBLIC HOUSE,QUEENS,Female
22,PVT HOUSE,QUEENS,Female
19,APT BUILD,QUEENS,Female
16,PUBLIC HOUSE,QUEENS,Male
18,PUBLIC HOUSE,QUEENS,Male
2,PUBLIC HOUSE,QUEENS,Female
20,PUBLIC HOUSE,QUEENS,Male
10,PUBLIC HOUSE,QUEENS,Male
10,PUBLIC HOUSE,QUEENS,Female
16,PUBLIC HOUSE,QUEENS,Female
11,PUBLIC HOUSE,QUEENS,Male
22,PUBLIC HOUSE,QUEENS,Female
2,BAR/NIGHT CLUB,QUEENS,Male
15,BAR/NIGHT CLUB,QUEENS,Female
3,PUBLIC HOUSE,QUEENS,Male
1,GROCERY/BODEGA,QUEENS,Male
0,PUBLIC HOUSE,QUEENS,Male
1,APT BUILD,QUEENS,Male
19,APT BUILD,QUEENS,Male
4,GROCERY/BODEGA,QUEENS,Female
4,PVT HOUSE,QUEENS,Male
17,PUBLIC HOUSE,QUEENS,Female
21,APT BUILD,QUEENS,Female
4,PVT HOUSE,QUEENS,Female
1,GROCERY/BODEGA,QUEENS,Female
23,BAR/NIGHT CLUB,STATEN ISLAND,Female
4,PUBLIC HOUSE,STATEN ISLAND,Male
13,APT BUILD,STATEN ISLAND,Male
2,STORE UNCLASSIFIED,STATEN ISLAND,Male
22,PUBLIC HOUSE,STATEN ISLAND,Female
16,PUBLIC HOUSE,STATEN ISLAND,Male
2,STORE UNCLASSIFIED,STATEN ISLAND,Female
3,APT BUILD,STATEN ISLAND,Male
0,PUBLIC HOUSE,STATEN ISLAND,Female
3,APT BUILD,STATEN ISLAND,Female
13,APT BUILD,STATEN ISLAND,Female
22,PUBLIC HOUSE,STATEN ISLAND,Male
16,PUBLIC HOUSE,STATEN ISLAND,Female
4,PUBLIC HOUSE,STATEN ISLAND,Female
3,PUBLIC HOUSE,STATEN ISLAND,Male
3,PUBLIC HOUSE,STATEN ISLAND,Female
0,PUBLIC HOUSE,STATEN ISLAND,Male
23,BAR/NIGHT CLUB,STATEN ISLAND,Male
